,venue,innings,batting_team,bowling_team,total_runs
0,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,61
1,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,26
2,"Punjab Cricket Association Stadium, Mohali",1,Chennai Super Kings,Kings XI Punjab,53
3,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Chennai Super Kings,56
4,Feroz Shah Kotla,1,Rajasthan Royals,Delhi Daredevils,40
5,Feroz Shah Kotla,2,Delhi Daredevils,Rajasthan Royals,55
6,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,47
7,Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,40
8,Eden Gardens,1,Deccan Chargers,Kolkata Knight Riders,39
9,Eden Gardens,2,Kolkata Knight Riders,Deccan Chargers,26
10,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,54
11,Sawai Mansingh Stadium,2,Rajasthan Royals,Kings XI Punjab,53
12,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,25
13,"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,44
14,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,52
15,"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,52
16,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Rajasthan Royals,57
17,"Rajiv Gandhi International Stadium, Uppal",2,Rajasthan Royals,Deccan Chargers,73
18,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,56
19,"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,39
20,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,57
21,M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,45
22,"MA Chidambaram Stadium, Chepauk",1,Kolkata Knight Riders,Chennai Super Kings,61
23,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kolkata Knight Riders,45
24,Dr DY Patil Sports Academy,1,Mumbai Indians,Deccan Chargers,27
25,Dr DY Patil Sports Academy,2,Deccan Chargers,Mumbai Indians,59
26,"Punjab Cricket Association Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,45
27,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Delhi Daredevils,55
28,M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,36
29,M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,45
30,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,40
31,Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,38
32,Feroz Shah Kotla,1,Delhi Daredevils,Royal Challengers Bangalore,58
33,Feroz Shah Kotla,2,Royal Challengers Bangalore,Delhi Daredevils,55
34,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Kings XI Punjab,50
35,"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Deccan Chargers,41
36,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,45
37,Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,51
38,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,47
39,"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,64
40,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Royal Challengers Bangalore,41
41,"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Deccan Chargers,43
42,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,49
43,"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,31
44,Dr DY Patil Sports Academy,1,Mumbai Indians,Delhi Daredevils,50
45,Dr DY Patil Sports Academy,2,Delhi Daredevils,Mumbai Indians,37
46,Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,38
47,Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,44
48,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,26
49,M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,52
50,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,34
51,"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,50
52,Dr DY Patil Sports Academy,1,Rajasthan Royals,Mumbai Indians,48
53,Dr DY Patil Sports Academy,2,Mumbai Indians,Rajasthan Royals,34
54,Feroz Shah Kotla,1,Delhi Daredevils,Chennai Super Kings,50
55,Feroz Shah Kotla,2,Chennai Super Kings,Delhi Daredevils,58
56,Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,41
57,Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,35
58,Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,50
59,Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,50
60,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,36
61,M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,39
62,"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kings XI Punjab,51
63,"MA Chidambaram Stadium, Chepauk",2,Kings XI Punjab,Chennai Super Kings,35
64,"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,43
65,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,52
66,Sawai Mansingh Stadium,1,Delhi Daredevils,Rajasthan Royals,47
67,Sawai Mansingh Stadium,2,Rajasthan Royals,Delhi Daredevils,21
68,"Punjab Cricket Association Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,50
69,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,42
70,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,35
71,Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,37
72,Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,28
73,Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,78
74,"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Rajasthan Royals,51
75,"Punjab Cricket Association Stadium, Mohali",2,Rajasthan Royals,Kings XI Punjab,38
76,Feroz Shah Kotla,1,Delhi Daredevils,Deccan Chargers,48
77,Feroz Shah Kotla,2,Deccan Chargers,Delhi Daredevils,71
78,Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,27
79,Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,68
80,Feroz Shah Kotla,1,Delhi Daredevils,Kings XI Punjab,68
81,Feroz Shah Kotla,2,Kings XI Punjab,Delhi Daredevils,73
82,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,51
83,Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,23
84,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Deccan Chargers,57
85,"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Mumbai Indians,28
86,Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,35
87,Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,43
88,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,41
89,M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,71
90,Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,32
91,Eden Gardens,2,Rajasthan Royals,Kolkata Knight Riders,42
92,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,43
93,Wankhede Stadium,2,Mumbai Indians,Kings XI Punjab,68
94,"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,23
95,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,44
96,"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,42
97,"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,74
98,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,60
99,Feroz Shah Kotla,2,Delhi Daredevils,Mumbai Indians,56
100,"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,67
101,"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,65
102,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Deccan Chargers,46
103,M Chinnaswamy Stadium,2,Deccan Chargers,Royal Challengers Bangalore,33
104,Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,47
105,Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,51
106,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,29
107,Sawai Mansingh Stadium,2,Rajasthan Royals,Mumbai Indians,35
108,"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Chennai Super Kings,26
109,"Rajiv Gandhi International Stadium, Uppal",2,Chennai Super Kings,Deccan Chargers,44
110,Wankhede Stadium,1,Rajasthan Royals,Delhi Daredevils,58
111,Wankhede Stadium,2,Delhi Daredevils,Rajasthan Royals,28
112,Wankhede Stadium,1,Kings XI Punjab,Chennai Super Kings,35
113,Wankhede Stadium,2,Chennai Super Kings,Kings XI Punjab,35
114,Dr DY Patil Sports Academy,1,Chennai Super Kings,Rajasthan Royals,42
115,Dr DY Patil Sports Academy,2,Rajasthan Royals,Chennai Super Kings,41
116,Newlands,1,Mumbai Indians,Chennai Super Kings,40
117,Newlands,2,Chennai Super Kings,Mumbai Indians,40
118,Newlands,1,Royal Challengers Bangalore,Rajasthan Royals,29
119,Newlands,2,Rajasthan Royals,Royal Challengers Bangalore,14
120,Newlands,1,Kings XI Punjab,Delhi Daredevils,67
121,Newlands,2,Delhi Daredevils,Kings XI Punjab,58
122,Newlands,1,Kolkata Knight Riders,Deccan Chargers,17
123,Newlands,2,Deccan Chargers,Kolkata Knight Riders,37
124,St George's Park,1,Chennai Super Kings,Royal Challengers Bangalore,68
125,St George's Park,2,Royal Challengers Bangalore,Chennai Super Kings,46
126,Kingsmead,1,Kings XI Punjab,Kolkata Knight Riders,46
127,Kingsmead,2,Kolkata Knight Riders,Kings XI Punjab,60
128,Newlands,1,Deccan Chargers,Royal Challengers Bangalore,62
129,Newlands,2,Royal Challengers Bangalore,Deccan Chargers,31
130,Kingsmead,1,Delhi Daredevils,Chennai Super Kings,59
131,Kingsmead,2,Chennai Super Kings,Delhi Daredevils,60
132,Newlands,1,Rajasthan Royals,Kolkata Knight Riders,50
133,Newlands,2,Kolkata Knight Riders,Rajasthan Royals,38
134,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,49
135,Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,44
136,Kingsmead,1,Deccan Chargers,Mumbai Indians,55
137,Kingsmead,2,Mumbai Indians,Deccan Chargers,49
138,St George's Park,1,Royal Challengers Bangalore,Delhi Daredevils,44
139,St George's Park,2,Delhi Daredevils,Royal Challengers Bangalore,43
140,Newlands,1,Kings XI Punjab,Rajasthan Royals,32
141,Newlands,2,Rajasthan Royals,Kings XI Punjab,32
142,Kingsmead,1,Chennai Super Kings,Deccan Chargers,62
143,Kingsmead,2,Deccan Chargers,Chennai Super Kings,69
144,St George's Park,1,Mumbai Indians,Kolkata Knight Riders,55
145,St George's Park,2,Kolkata Knight Riders,Mumbai Indians,47
146,SuperSport Park,1,Delhi Daredevils,Rajasthan Royals,42
147,SuperSport Park,2,Rajasthan Royals,Delhi Daredevils,33
148,Kingsmead,1,Kolkata Knight Riders,Royal Challengers Bangalore,45
149,Kingsmead,2,Royal Challengers Bangalore,Kolkata Knight Riders,46
150,Kingsmead,1,Kings XI Punjab,Mumbai Indians,26
151,Kingsmead,2,Mumbai Indians,Kings XI Punjab,23
152,SuperSport Park,1,Deccan Chargers,Delhi Daredevils,37
153,SuperSport Park,2,Delhi Daredevils,Deccan Chargers,37
154,SuperSport Park,1,Chennai Super Kings,Rajasthan Royals,40
155,SuperSport Park,2,Rajasthan Royals,Chennai Super Kings,38
156,Buffalo Park,1,Mumbai Indians,Kolkata Knight Riders,40
157,Buffalo Park,2,Kolkata Knight Riders,Mumbai Indians,26
158,Kingsmead,1,Royal Challengers Bangalore,Kings XI Punjab,38
159,Kingsmead,2,Kings XI Punjab,Royal Challengers Bangalore,35
160,St George's Park,1,Deccan Chargers,Rajasthan Royals,39
161,St George's Park,2,Rajasthan Royals,Deccan Chargers,29
162,New Wanderers Stadium,1,Chennai Super Kings,Delhi Daredevils,47
163,New Wanderers Stadium,2,Delhi Daredevils,Chennai Super Kings,49
164,St George's Park,1,Kolkata Knight Riders,Kings XI Punjab,28
165,St George's Park,2,Kings XI Punjab,Kolkata Knight Riders,51
166,New Wanderers Stadium,1,Mumbai Indians,Royal Challengers Bangalore,25
167,New Wanderers Stadium,2,Royal Challengers Bangalore,Mumbai Indians,51
168,Buffalo Park,1,Chennai Super Kings,Deccan Chargers,53
169,Buffalo Park,2,Deccan Chargers,Chennai Super Kings,52
